NO,PO,DelName,DelContactPhoneNumber,ADDR1,Addr2,DivLoc,ApptInfo,CITY,State,Zip,COUNTRY,DELCONTACT,PhoneNumber,PartNum,Quantity,,ReqShipDate,FREIGHT,,CARRIER,,BILL TO ,BILL TO EMAIL ADDRESS,,,,,BILL TO CITY,BILL TO STATE,BILL TO ZIPCODE
NO,LG022616E174,DOLLAR GENERAL #11786,,1406 MAIN ST (HWY K),,,,STEWARTSVILLE,MO,64490,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,STEWARTSVILLE,MO,64490
NO,LG022616E175,DOLLAR GENERAL #11212,,260 CROSS CREEK,,,,BRANSON,MO,65616,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,BRANSON,MO,65616
NO,LG022616E176,DOLLAR GENERAL #7823,,209 NC HIGHWAY 111 S,,,,GOLDSBORO,NC,27534,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,GOLDSBORO,NC,27534
NO,LG022616E177,DOLLAR GENERAL #11653,,350 CLOVER LN,,,,CLOVERPORT,KY,40111,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,CLOVERPORT,KY,40111
NO,LG022616E178,DOLLAR GENERAL #10450,,309 E COLORADO,,,,RIO HONDO,TX,78583,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,RIO HONDO,TX,78583
NO,LG022616E179,DOLLAR GENERAL #8295,,701 E HIGHWAY 281,,,,PROGRESO,TX,78579,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PROGRESO,TX,78579
NO,LG022616E180,DOLLAR GENERAL #11811,,13421 RT C,,,,RUSSELLVILLE,MO,65074,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,RUSSELLVILLE,MO,65074
NO,LG022616E181,DOLLAR GENERAL #16642,,14430 HWY 87 W,,,,TAR HEEL,NC,28392,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,TAR HEEL,NC,28392
NO,LG022616E182,DOLLAR GENERAL #16552,,1001 E. HERITAGE PKY,,,,PRAIRIE GROVE,AR,72753,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PRAIRIE GROVE,AR,72753
NO,LG022616E183,DOLLAR GENERAL #7590,,101 E BLAIR,,,,THREE RIVERS,TX,78071,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,THREE RIVERS,TX,78071
NO,LG022616E184,DOLLAR GENERAL #10415,,14823 NE HWY 315,,,,FORT MCCOY,FL,32134,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,FORT MCCOY,FL,32134
NO,LG022616E185,DOLLAR GENERAL #7998,,605 HOLLY ST,,,,PLEASANTON,KS,66075,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PLEASANTON,KS,66075
NO,LG022616E186,DOLLAR GENERAL #10388,,16180 HIGHWAY 603,,,,KILN,MS,39556,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,KILN,MS,39556
NO,LG022616E187,DOLLAR GENERAL #1635,,15250 NW US HWY 441,,,,ALACHUA,FL,32616,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ALACHUA,FL,32616
NO,LG022616E188,DOLLAR GENERAL #922,,1399 APPALACHIAN HWY,,,,PINEVILLE,WV,24874,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,PINEVILLE,WV,24874
NO,LG022616E189,DOLLAR GENERAL #11752,,22712 US HIGHWAY 301 N,,,,LAWTEY,FL,32058,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,LAWTEY,FL,32058
NO,LG022616E190,DOLLAR GENERAL #11754,,302 ROSE PORT RD,,,,ELWOOD,KS,66024,,ATTN: PEPSI/STORE MANAGER,,02-42736,1,,3/3/2016,PREPAID AND ADD,,UPS,,ERICA JAMES,ERICA.JAMES@PEPSICO.COM,,,,,ELWOOD,KS,66024
